epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,1077.1,1.02789,1.07227,1.87363,0.87318,0.91597,0.95443,0.68671,1.00977,0.73922,2.14235,0.000816229,0.000816229,0.000816229
136,1081.41,0.99634,1.06168,1.86272,0.89752,0.91615,0.96126,0.70632,0.94354,0.68964,2.03166,0.00081403,0.00081403,0.00081403
137,1085.7,1.00778,1.04983,1.84987,0.92706,0.89818,0.96167,0.71497,0.93649,0.70159,2.02449,0.00081183,0.00081183,0.00081183
138,1089.62,1.02729,1.03317,1.84627,0.89043,0.91811,0.95391,0.70884,0.93134,0.6895,2.0123,0.00080963,0.00080963,0.00080963
139,1093.45,1.0203,1.05816,1.86159,0.92272,0.91174,0.9639,0.71371,0.94572,0.66775,2.04066,0.00080743,0.00080743,0.00080743
140,1097.3,1.04582,1.06092,1.89197,0.92236,0.86626,0.94656,0.6988,0.94787,0.69503,2.01251,0.000805231,0.000805231,0.000805231
141,1101.15,0.99247,0.9712,1.84293,0.92366,0.89231,0.95596,0.69534,0.99225,0.71507,2.12592,0.000803031,0.000803031,0.000803031
142,1105.04,1.0438,1.04045,1.87434,0.92249,0.91722,0.96522,0.71656,0.92451,0.65729,1.99025,0.000800831,0.000800831,0.000800831
143,1108.93,1.00592,0.97899,1.83779,0.88576,0.91167,0.95676,0.71547,0.92111,0.67453,2.00489,0.000798631,0.000798631,0.000798631
144,1112.75,1.02202,1.02934,1.8695,0.90866,0.88075,0.95371,0.7077,0.93916,0.66621,2.00641,0.000796431,0.000796431,0.000796431
145,1116.62,1.01651,1.03028,1.85145,0.93511,0.88442,0.95571,0.71379,0.94506,0.68127,2.0433,0.000794232,0.000794232,0.000794232
146,1120.73,1.02713,1.06181,1.88964,0.89049,0.92472,0.9617,0.71275,0.97465,0.68861,2.08012,0.000792032,0.000792032,0.000792032
147,1125.25,1.03215,1.03361,1.84915,0.85777,0.92199,0.95354,0.72099,0.94123,0.69011,2.027,0.000789832,0.000789832,0.000789832
148,1129.58,1.00187,1.01208,1.83495,0.92671,0.90994,0.96216,0.72565,0.90807,0.65317,1.96633,0.000787632,0.000787632,0.000787632
149,1133.88,1.01024,1.00178,1.85633,0.89999,0.91023,0.9515,0.67802,1.04593,0.72199,2.19869,0.000785433,0.000785433,0.000785433
150,1138.17,1.01,0.98571,1.85168,0.92188,0.88978,0.95859,0.70327,0.97345,0.68251,2.05202,0.000783233,0.000783233,0.000783233
151,1142.12,1.00527,1.02301,1.85384,0.9171,0.87401,0.95453,0.70836,0.94014,0.69355,2.01192,0.000781033,0.000781033,0.000781033
152,1145.99,1.02447,1.0526,1.85621,0.88089,0.91734,0.96421,0.7072,0.94288,0.67609,2.0317,0.000778833,0.000778833,0.000778833
153,1149.85,1.01389,0.99564,1.86345,0.89459,0.92612,0.95847,0.72059,0.92024,0.65534,1.99923,0.000776633,0.000776633,0.000776633
154,1153.72,1.00745,1.01569,1.85962,0.93549,0.92246,0.96838,0.71334,0.9472,0.65707,2.02304,0.000774434,0.000774434,0.000774434
155,1157.54,1.00619,0.99929,1.81912,0.9264,0.8727,0.95474,0.68734,1.00967,0.71404,2.14552,0.000772234,0.000772234,0.000772234
156,1161.34,1.00709,1.03677,1.82537,0.90494,0.91845,0.95699,0.70464,0.95722,0.68524,2.05532,0.000770034,0.000770034,0.000770034
157,1165.17,1.01847,1.02805,1.84475,0.88698,0.92279,0.95949,0.7107,0.94037,0.67318,2.0259,0.000767834,0.000767834,0.000767834
158,1169,1.00498,0.98799,1.84818,0.91733,0.90553,0.95752,0.71632,0.92013,0.64768,1.96348,0.000765635,0.000765635,0.000765635
159,1172.96,0.98143,0.99666,1.83314,0.88492,0.86069,0.93597,0.6929,0.95123,0.73181,2.03693,0.000763435,0.000763435,0.000763435
160,1177.25,1.01534,1.04345,1.87101,0.9365,0.91015,0.95594,0.71744,0.92693,0.65391,1.97094,0.000761235,0.000761235,0.000761235
161,1181.48,1.00569,0.98664,1.8497,0.91993,0.92149,0.96631,0.7388,0.88888,0.62596,1.94759,0.000759035,0.000759035,0.000759035
162,1185.73,0.99176,0.95542,1.81192,0.88831,0.93881,0.95624,0.7281,0.90439,0.65088,1.96723,0.000756835,0.000756835,0.000756835
163,1190.17,0.98982,0.96659,1.8388,0.89354,0.91032,0.95431,0.7161,0.94061,0.6658,1.99087,0.000754636,0.000754636,0.000754636
164,1194.23,0.99744,0.93837,1.84535,0.91495,0.91694,0.96337,0.71118,0.95713,0.6571,2.03759,0.000752436,0.000752436,0.000752436
165,1198.08,1.00494,0.99772,1.82906,0.91162,0.92813,0.96252,0.7277,0.94443,0.67582,2.04489,0.000750236,0.000750236,0.000750236
166,1201.93,0.99829,0.96331,1.82929,0.95255,0.90115,0.96866,0.73424,0.89694,0.63002,1.9499,0.000748036,0.000748036,0.000748036
167,1205.79,1.01356,1.00636,1.83617,0.94064,0.89863,0.96389,0.72576,0.93568,0.64848,2.03874,0.000745837,0.000745837,0.000745837
168,1209.68,1.00478,1.0266,1.82278,0.90923,0.91237,0.95926,0.73151,0.88291,0.63951,1.92654,0.000743637,0.000743637,0.000743637
169,1213.52,0.99102,1.00756,1.82679,0.88371,0.88318,0.95213,0.71814,0.90723,0.67455,1.95718,0.000741437,0.000741437,0.000741437
170,1216.9,1.02452,1.01902,1.87994,0.92725,0.88646,0.95781,0.73355,0.88552,0.67269,1.93251,0.000739237,0.000739237,0.000739237
171,1220,0.99788,1.00111,1.83904,0.93842,0.90068,0.95939,0.72291,0.92562,0.676,2.00762,0.000737037,0.000737037,0.000737037
172,1223.11,0.97512,0.97501,1.82197,0.94468,0.89057,0.96346,0.73304,0.90945,0.6333,1.9805,0.000734838,0.000734838,0.000734838
173,1226.52,0.97734,0.94184,1.83979,0.91403,0.89249,0.96288,0.71485,0.95924,0.65545,2.04762,0.000732638,0.000732638,0.000732638
174,1230.15,0.99237,0.99225,1.8254,0.90546,0.90322,0.95999,0.71911,0.91977,0.65146,1.97869,0.000730438,0.000730438,0.000730438
175,1233.68,0.97141,0.97351,1.80557,0.91015,0.90802,0.96321,0.73099,0.91051,0.63516,1.97344,0.000728238,0.000728238,0.000728238
176,1237.11,0.98625,0.96043,1.82982,0.9115,0.90094,0.95497,0.72163,0.90975,0.64383,1.96782,0.000726038,0.000726038,0.000726038
177,1240.53,0.99811,0.98558,1.83189,0.92622,0.91051,0.96642,0.73068,0.90135,0.62692,1.95795,0.000723839,0.000723839,0.000723839
178,1244.16,0.99477,0.99149,1.84244,0.93901,0.89935,0.96714,0.72266,0.90459,0.63514,1.96647,0.000721639,0.000721639,0.000721639
179,1247.31,0.98265,0.97552,1.8097,0.90769,0.93473,0.96901,0.72157,0.92929,0.65604,2.02005,0.000719439,0.000719439,0.000719439
180,1250.32,1.00259,0.98098,1.83878,0.94605,0.87682,0.96588,0.73532,0.88186,0.63519,1.95561,0.000717239,0.000717239,0.000717239
